#
#  synelcyc 23.0 Reactions link table generated on Tue Apr 16, 2019
#
SUCCGLUALDDEHYD-RXN	EC-1.2.1.71
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
ADENYLATECYC-RXN	EC-4.6.1.1
RXN-15129	
DNA-LIGASE-ATP-RXN	EC-6.5.1.7	EC-6.5.1.1	EC-6.5.1.6
RXN66-555	EC-6.3.2
TRANS-RXN490-3536	
TYROSINE--TRNA-LIGASE-RXN	EC-6.1.1.1
ISOCHORSYN-RXN	EC-5.4.4.2
RXN-5682	EC-1.3.1.78
2-METHYLCITRATE-SYNTHASE-RXN	EC-2.3.3.5
GLUTATHIONE-SYN-RXN	EC-6.3.2.3
PRTRANS-RXN	EC-2.4.2.18
GLYRIBONUCSYN-RXN	EC-6.3.4.13
PRAISOM-RXN	EC-5.3.1.24
GLYCINE-DEHYDROGENASE-RXN	EC-1.4.1.10
GLYCINE--TRNA-LIGASE-RXN	EC-6.1.1.14
GCVP-RXN	EC-1.4.4.2
TRANS-RXN490-3598	
GCVMULTI-RXN	
PGLUCISOM-RXN	EC-5.3.1.9
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
MANNPISOM-RXN	EC-5.3.1.8
GLYOHMETRANS-RXN	EC-2.1.2.1
RXN-14812	
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
RXN-13614	EC-6.2.1.3
TRANS-RXN490-3550	
ALARACECAT-RXN	EC-5.1.1.1
ALANINE-DEHYDROGENASE-RXN	EC-1.4.1.1
TRANSALDOL-RXN	EC-2.2.1.2
UDP-NACMUR-ALA-LIG-RXN	EC-6.3.2.8
TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44
1TRANSKETO-RXN	EC-2.2.1.1
7KAPSYN-RXN	EC-2.3.1.47
F16ALDOLASE-RXN	EC-4.1.2.13
RXN-11484	EC-2.3.1.47
DEOXYRIBOSE-P-ALD-RXN	EC-4.1.2.4
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
2TRANSKETO-RXN	EC-2.2.1.1
VALINE-PYRUVATE-AMINOTRANSFER-RXN	EC-2.6.1.66
KDPGALDOL-RXN	EC-4.1.2.55	EC-4.1.2.14
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	EC-2.6.1.51
6PGLUCONDEHYDROG-RXN	EC-1.1.1.351
RXN-12588	EC-2.8.1.7
RXN-9787	EC-2.8.1.7
OROPRIBTRANS-RXN	EC-2.4.2.10
RXN0-308	EC-2.8.1.7
OXALATE-DECARBOXYLASE-RXN	EC-4.1.1.2
SELENOCYSTEINE-LYASE-RXN	EC-4.4.1.16
DTDPGLUCOSEPP-RXN	EC-2.7.7.24
RXN-14385	EC-2.8.1.7
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	EC-2.7.7.9
RXN-15881	EC-2.8.1.7
2.7.7.33-RXN	EC-2.7.7.33
RXN-14267	EC-3.5.1.28
DXS-RXN	EC-2.2.1.7
RXN-16393	EC-6.2.1.3
ACETOLACTSYN-RXN	EC-2.2.1.6
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
2.7.7.13-RXN	EC-2.7.7.13
PROLINE--TRNA-LIGASE-RXN	EC-6.1.1.15
RXN-7800	
R223-RXN	EC-6.2.1.3
2.7.7.60-RXN	EC-2.7.7.60
ASPARAGINE--TRNA-LIGASE-RXN	EC-6.1.1.22
ACETOOHBUTSYN-RXN	EC-2.2.1.6
RXN-12460	EC-3.1.1.29
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
RXN66-484	EC-6.2.1.3
RXN0-6490	
RXN-10922	EC-1.4.3
SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
TRYPTOPHAN--TRNA-LIGASE-RXN	EC-6.1.1.2
RXN0-4342	EC-2.7.7.70
TRYPSYN-RXN	EC-4.2.1.20
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18
RXN0-2382	EC-4.2.1.122
GLUC1PADENYLTRANS-RXN	EC-2.7.7.27
RXN-14685	
CDPDIGLYSYN-RXN	EC-2.7.7.41
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EC-2.6.1.16
RXN0-5259	
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
RXN0-5515	EC-2.7.7.41
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
RXN0-1134	EC-1.2.4.1
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
RXN-8642	
ASPAMINOTRANS-RXN	EC-2.6.1.1
2.5.1.64-RXN	EC-2.2.1.9
PABASYN-RXN	EC-2.6.1.85
RXN-12648	
SUCCINYLDIAMINOPIMTRANS-RXN	EC-2.6.1.17
RXN-12303	EC-1.6.5.2
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	EC-2.6.1.39
RXN-9516	EC-2.3.1.41
ANTHRANSYN-RXN	EC-4.1.3.27
RXN-9531	EC-2.3.1.41
R345-RXN	EC-6.3.5.10
RXN-11474	EC-2.3.1.41
R341-RXN	EC-6.3.5.9
RXN-9527	EC-2.3.1.41
NAD-SYNTH-GLN-RXN	EC-6.3.5.1
RXN-9523	EC-2.3.1.41
GMP-SYN-GLUT-RXN	EC-6.3.5.2
RXN-9535	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
FGAMSYN-RXN	EC-6.3.5.3
RXN-11479	EC-2.3.1.41
CARBPSYN-RXN	EC-6.3.5.5
3-OXOACYL-ACP-SYNTH-BASE-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
CTPSYN-RXN	EC-6.3.4.2
2OXOGLUTDECARB-RXN	EC-1.2.4.2
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	EC-3.5.2.9
2.3.1.41-RXN	EC-2.3.1.41
GLUTAMIDOTRANS-RXN	EC-2.4.2
RXN-9789	EC-2.7.7.73
SUCCORNTRANSAM-RXN	EC-2.6.1.81
RXN-9539	EC-2.3.1.41
GLYCINE-AMINOTRANSFERASE-RXN	EC-2.6.1.4
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
RXN-13456	
MALONYL-ACPDECARBOX-RXN	EC-2.3.1
PREPHENATE-TRANSAMINE-RXN	EC-2.6.1.79
RXN-9944	EC-1.8.7.2
6.3.5.6-RXN	EC-6.3.5.6
RXN-8447	
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
ACYLCOADEHYDROG-RXN	EC-1.3.8
RXN-8769	EC-6.3.5.11
RXN-15447	
6.3.5.7-RXN	EC-6.3.5.7
MANNPGUANYLTRANGDP-RXN	EC-2.7.7.22
RXN-5184	EC-2.6.1
RXN-13443	EC-1.1.1.330
RXN-8953	EC-2.6.1.102
RXN-12720	EC-2.7.7.4
RXN-14256	
NQOR-RXN	EC-1.6.5.2
RXN-14257	
RXN-11734	EC-1.3.8.7
RXN-11737	EC-2.6.1.1
RXN-11361	EC-2.7.7.80
RXN-10814	EC-2.6.1.1
RXN-16333	
RXN-13697	EC-2.6.1.1
RXN0-2141	EC-2.3.1.41
RXN-15007	EC-2.6.1.11
RXN-8315	
ORNITHINE-GLU-AMINOTRANSFORASE-RXN	EC-2.6.1.13
TRANS-RXN490-3498	
RXN-13675	EC-3.4.19.9
TRANS-RXN490-3573	
GLUTRACE-RXN	EC-5.1.1.3
RXN490-3613	
GLUTKIN-RXN	EC-2.7.2.11
RXN0-5267	
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
RXN-5462	EC-2.4.1.132
RXN0-2921	EC-6.3.2.17
R82-RXN	EC-5.3.2.5
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
RXN-5463	EC-2.4.1.257
PRPPAMIDOTRANS-RXN	EC-2.4.2.14
RXN-5469	EC-2.4.1.261
GLUTCYSLIG-RXN	EC-6.3.2.2
RXN-5467	EC-2.4.1.259
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
LIPIDADISACCHARIDESYNTH-RXN	EC-2.4.1.182
HISTAMINOTRANS-RXN	EC-2.6.1.9
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
GLUTDEHYD-RXN	EC-1.4.1.4
1.6.4.4-RXN	EC-1.8.1.8
PSERTRANSAMPYR-RXN	EC-2.6.1.52
RXN0-742	EC-6.3.4.18
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	EC-1.4.7.1
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
GLURS-RXN	EC-6.1.1.17
AIRS-RXN	EC-6.3.3.1
RXN-12878	
PRPPSYN-RXN	EC-2.7.6.1
RXN-9386	
RXN0-4341	EC-2.7.1.167
GLUTAMINESYN-RXN	EC-6.3.1.2
PHOSPHORIBULOKINASE-RXN	EC-2.7.1.19
GLUTAMATESYN-RXN	EC-1.4.1.13
PEPDEPHOS-RXN	EC-2.7.1.40
DIAMINOPIMEPIM-RXN	EC-5.1.1.7
OHMETPYRKIN-RXN	EC-2.7.1.49
RXN-7737	EC-2.6.1.83
DIACYLGLYKIN-RXN	EC-2.7.1.107
4.1.1.86-RXN	EC-4.1.1.86
6PFRUCTPHOS-RXN	EC-2.7.1.11
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.8
2.7.1.148-RXN	EC-2.7.1.148
RXN-15131	
GARTRANSFORMYL2-RXN	EC-2.1.2
RXN-14048	
2.7.13.3-RXN	EC-2.7.13.3
O-SUCCHOMOSERLYASE-RXN	EC-2.5.1.48
HEXOKINASE-RXN	EC-2.7.1.1
CYSTATHIONINE-BETA-SYNTHASE-RXN	EC-4.2.1.22
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
ASPCARBTRANS-RXN	EC-2.1.3.2
RXN-11706	EC-1.2.1.80
DIHYDROOROT-RXN	EC-3.5.2.3
2.7.1.90-RXN	EC-2.7.1.90
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
TRANS-RXN-218	
ACETYLORNDEACET-RXN	EC-3.5.1.16
BIOTIN-CARBOXYL-RXN	EC-6.3.4.14
FORMYLMETHIONINE-DEFORMYLASE-RXN	EC-3.5.1.31
RXN-11707	EC-1.2.1.80
RXN0-1321	EC-2.4.2.29
RXN-12861	
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.29
PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN	EC-1.10.9.1
GUANINE-DEAMINASE-RXN	EC-3.5.4.3
RXN0-947	EC-2.3.1.181
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
HYDROG-RXN	EC-1.12.7.2
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	EC-2.4.2.28
PROTEIN-KINASE-RXN	EC-2.7.11.21	EC-2.7.11.22	EC-2.7.11.13	EC-2.7.11.1	EC-2.7.11.17	EC-2.7.11.12
RXN-14304	EC-2.4.2.28
RXN-5061	EC-1.5.7.1
1.8.4.13-RXN	EC-1.8.4.13
LEUCYLTRANSFERASE-RXN	EC-2.3.2.6
RXNQT-4366	EC-3.1.1.1
GART-RXN	EC-2.1.2.2
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.35
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
N-ACETYLTRANSFER-RXN	EC-2.3.1.1
RXN-13519	
ACETYLGLUTKIN-RXN	EC-2.7.2.8
RXN-15451	
RXN-13374	EC-1.13.11.63
RXN-12959	EC-2.7.1.174
OROTPDECARB-RXN	EC-4.1.1.23
RXN-14207	EC-2.7.1.40
PHOSNACMURPENTATRANS-RXN	EC-2.7.8.13
RXN-14192	EC-2.7.1.40
RXN-8975	EC-2.7.8.13
RXN-14117	EC-2.7.1.40
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54
DEOXYADENOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.76	EC-2.7.1.145
RXN-11028	EC-2.7.8
DEOXYGUANOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.113	EC-2.7.1.145
RXN-11347	EC-2.7.8.13
TRANS-RXN490-3602	
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
RXN-1224	EC-2.4.1
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
GLUCOKIN-RXN	EC-2.7.1.1	EC-2.7.1.2
H2NEOPTERINALDOL-RXN	EC-4.1.2.25
RXN0-2023	EC-2.8.1.13
RXN-10857	EC-4.1.2.25
RXN-12473	EC-2.8.1.11
RXN0-302	EC-4.6.1.12
METHCOCLTH-RXN	EC-2.1.1.258
P-PANTOCYSLIG-RXN	EC-6.3.2.5
R147-RXN	EC-1.13.11.54
RXN-11832	EC-2.7.4.14	EC-2.7.4.25
RXN-12869	
GLYOXI-RXN	EC-4.4.1.5
RXN0-4281	EC-1.1.1
2.1.1.19-RXN	EC-2.1.1.19
TRANS-RXN490-3501	
RXN-12540	
RXN490-3614	
RXN-11409	
TRANS-RXN490-3599	
RXN-11410	
RXN-12539	
TRANS-RXN490-3534	
RXN-14290	
TRANS-RXN-190	
RXN-15139	
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
RXN0-7080	
CARBAMATE-KINASE-RXN	EC-2.7.2.2
SUPEROX-DISMUT-RXN	EC-1.15.1.1
RXN-13202	EC-6.3.4.16
RXN-12541	
GMP-SYN-NH3-RXN	
NITRITE-REDUCTASE-CYTOCHROME-RXN	EC-1.7.2.1
RXN-14325	
RXN-15838	EC-1.7.2.1
TRANS-RXN490-3504	
RXN-13576	
RXN-9615	
RXN-3521	
RXN-12893	EC-4.2.1.104
RXN-10981	
GCVT-RXN	EC-2.1.2.10
RXN-3523	
RXN-11811	
RXN490-3641	EC-1.14.11
RXN-6081	
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104
RXN-14387	
2.1.1.132-RXN	EC-2.1.1.132
TRANS-RXN490-3603	
2.1.1.72-RXN	EC-2.1.1.72
1.8.4.8-RXN	EC-1.8.4.8
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN	EC-2.1.1.11
ADENYLYLSULFKIN-RXN	EC-2.7.1.25
DAPASYN-RXN	EC-2.6.1.62
AIRCARBOXY-RXN	EC-4.1.1.21
UROPORIIIMETHYLTRANSA-RXN	
RXN0-743	EC-5.4.99.18
RXN-8675	
CHORISMATEMUT-RXN	EC-5.4.99.5
RXN-8762	EC-2.1.1.271
PROPKIN-RXN	EC-2.7.2.15
2.1.1.133-RXN	EC-2.1.1.133
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
2.1.1.130-RXN	EC-2.1.1.130
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
2.1.1.131-RXN	EC-2.1.1.131
HEMN-RXN	EC-1.3.99.22
R322-RXN	EC-2.1.1.152
SPERMIDINESYN-RXN	EC-2.5.1.16
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	EC-2.1.1.201
SPERMINE-SYNTHASE-RXN	EC-2.5.1.22
RXN-8764	EC-2.1.1.195
RXN-7968	EC-1.1.1.282
RXN-8760	EC-2.1.1.151
2.5.1.19-RXN	EC-2.5.1.19
RXN-2762	EC-2.1.1.295
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
RXN-2542	EC-2.1.1.295
RXN-7774	EC-4.1.1.71
SAMDECARB-RXN	EC-4.1.1.50
RXN-11301	EC-2.4.1
RXN-7605	EC-2.1.1
THI-P-KIN-RXN	EC-2.7.4.16
PYRIMSYN1-RXN	EC-4.1.99.17
RXN-12508	
RXN0-5419	
RXN-12583	
RXN3O-178	EC-2.1.1.41
GPH-RXN	EC-3.1.3.18
RXN-11578	EC-2.1.1.170
DAHPSYN-RXN	EC-2.5.1.54
RXN-11601	EC-2.1.1.190
R311-RXN	EC-3.5.1.4
RXN-7569	EC-2.1.1.163
AMIDASE-RXN	EC-3.5.1.4
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	EC-2.1.1.37
ACID-PHOSPHATASE-RXN	EC-3.1.3.2
RXN-12458	EC-2.1.1.228
3.6.3.12-RXN	EC-3.6.3.12
RXN0-1342	EC-2.4.99.17
GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
RXN-12459	EC-2.1.1.221
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
RXN-11319	EC-4.1.99.19
PPGPPSYN-RXN	EC-3.1.7.2
RXN-12944	EC-2.1.1
3.5.1.88-RXN	EC-3.5.1.88
RXN-11475	EC-2.1.1.197
OHMETHYLBILANESYN-RXN	EC-2.5.1.61
RXN0-5144	EC-2.1.1.61
DHLAXANAU-RXN	EC-3.8.1.5
RXN-8761	
3.5.5.1-RXN	EC-3.5.5.1
RXN-8767	EC-2.1.1.289
CARBOXYLESTERASE-RXN	EC-3.1.1.1
RXN-13824	
NAG6PDEACET-RXN	EC-3.5.1.25
RXN-13826	
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
2.8.1.6-RXN	EC-2.8.1.6
PROTEIN-TYROSINE-PHOSPHATASE-RXN	EC-3.1.3.48
RXN0-949	EC-2.8.1.8
6PGLUCONOLACT-RXN	EC-3.1.1.31
S-ADENMETSYN-RXN	EC-2.5.1.6
PEPSYNTH-RXN	EC-2.7.9.2
RXN-15091	EC-2.7.1.174
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31
L-AMINO-ACID-OXIDASE-RXN	EC-1.4.3.2
ACETYLHOMOSER-CYS-RXN	EC-2.5.1.49
1.7.7.2-RXN	EC-1.7.7.2
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	EC-2.5.1.49
ALKAPHOSPHA-RXN	EC-3.1.3.1
SUCROSE-PHOSPHATASE-RXN	EC-3.1.3.24
BETA-LACTAMASE-RXN	EC-3.5.2.6
SUCROSE-PHOSPHATE-SYNTHASE-RXN	EC-2.4.1.14
RXN0-5216	EC-3.2.1.170
RXN-14197	EC-3.5.4.1
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
RXN-8631	EC-4.1.2.13
RXN0-1441	EC-3.6.1.53	EC-3.6.1.13
RIBOFLAVINSYNREDUC-RXN	EC-1.1.1.193
2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN	EC-3.7.1
F16BDEPHOS-RXN	EC-3.1.3.11
RIBOFLAVIN-SYN-RXN	EC-2.5.1.9
RIBAZOLEPHOSPHAT-RXN	EC-3.1.3.73
RIBOPHOSPHAT-RXN	
ADPREDUCT-RXN	EC-1.17.4.1
LUMAZINESYN-RXN	EC-2.5.1.78
GDPREDUCT-RXN	EC-1.17.4.1
RXN-8079	EC-2.5.1.77
R83-RXN	EC-3.1.3.87
GST-RXN	EC-2.5.1.18
HISTPRATPHYD-RXN	EC-3.6.1.31
HISTIDPHOS-RXN	EC-3.1.3.15
R524-RXN	EC-4.2.1.104
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	EC-3.1.3.37
RXN-16910	
CDPREDUCT-RXN	EC-1.17.4.1
RXN0-5222	
UDPREDUCT-RXN	EC-1.17.4.1
RXN-14196	EC-2.7.2
DUTP-PYROP-RXN	EC-3.6.1.19	EC-3.6.1.23
RXN-11152	
PPPGPPHYDRO-RXN	EC-3.6.1.40
RXN-11153	
ACETYLSPERMIDINE-DEACETYLASE-RXN	EC-3.5.1.48
RXN-9868	EC-3.1.1.45
RXN0-385	EC-3.6.1.19
CARBOXYMETHYLENEBUTENOLIDASE-RXN	EC-3.1.1.45
NMNAMIDOHYDRO-RXN	EC-3.5.1.42
RXN-16997	
3.6.3.27-RXN	EC-3.6.3.27
RXN-16998	
RXN490-3510	
RXN0-20	
RXN490-3512	
GLYC3PDEHYDROGBIOSYN-RXN	EC-1.1.1.94
RXN490-3517	
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
RXN490-3528	
RXN-1381	EC-2.3.1.15
RXN490-3538	
1.1.1.8-RXN	EC-1.1.1.8
RXN490-3584	
RXN-15045	EC-2.3.1.15
TRANS-RXN-1444	
RXN-11717	EC-4.2.1
TRANS-RXN490-3543-ATP	
CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.28
RXN490-3609	
DHLBXANAU-RXN	EC-3.8.1.3
RXN490-3611	EC-3.6.3
ALDXANAU-RXN	EC-1.2.1
RXN-8668	EC-1.8.4.11
RXN490-3603	
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	EC-1.17.4.1
ALKYLHALIDASE-RXN	EC-3.8.1.1
3.1.3.77-RXN	EC-3.1.3.77
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
RXN-9549	EC-3.1.2.14
ACSERLY-RXN	EC-2.5.1.47
RXN0-4641	EC-4.2.1.126
SULFOCYS-RXN	EC-2.5.1.47
RXN490-3523	
RXN-12726	EC-2.5.1.47
RXN490-3642	
4.1.1.81-RXN	EC-4.1.1.81
RXN490-3644	
RXN0-5114	EC-3.1.3.3
RXN-9921	EC-3.1.3
PSERTRANSAM-RXN	EC-2.6.1.52
RXN-9920	EC-3.1.3
RXN0-5359	EC-2.7.7.65
RXN0-4361	EC-3.1.3.82
RIBOSYLNICOTINAMIDE-KINASE-RXN	EC-2.7.1.22
RXN490-3519	
3.6.3.4-RXN	EC-3.6.3.4
3.2.1.24-RXN	EC-3.2.1.24
3.6.3.16-RXN	EC-3.6.3.16
3.6.3.25-RXN	EC-3.6.3.25
RXN0-6427	EC-3.1.7.2
ISPH2-RXN	EC-1.17.1.2
RXN0-884	EC-1.17.1.2
RXN0-882	EC-1.17.7.1
TRANS-RXN-178	EC-3.6.3
TRANS-RXN490-3506	
RXN0-5462	EC-3.6.5.1	EC-3.6.5.2	EC-3.6.5.3	EC-3.6.5.4	EC-3.6.5.5	EC-3.6.5.6	EC-3.6.1.15
CPM-KDOSYNTH-RXN	EC-2.7.7.38
RXN-12195	EC-3.6.1.15
KDO-8PPHOSPHAT-RXN	EC-3.1.3.45
3.2.2.23-RXN	EC-3.2.2.23
RXN-1828	EC-2.4.1.25
3.2.1.8-RXN	EC-3.2.1.8
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
PSERPHOSPHA-RXN	EC-3.1.3.3
3.1.2.21-RXN	EC-3.1.2.21
1.8.4.12-RXN	EC-1.8.4.12
ATP-PYROPHOSPHATASE-RXN	EC-3.6.1.8
RXN0-4621	EC-2.7.1.170
3.5.1.80-RXN	EC-3.5.1.25
3.4.21.89-RXN	EC-3.4.21.89
3.4.24.57-RXN	EC-3.4.24.57
3.4.24.55-RXN	EC-3.4.24.55
3.4.23.36-RXN	EC-3.4.23.36
3.4.22.36-RXN	EC-3.4.22.36
3.1.27.5-RXN	EC-3.1.27.5
3.1.27.1-RXN	EC-3.1.27.1
3.1.26.11-RXN	EC-3.1.26.11
RXN-12862	
RXN-12871	
3.2.1.17-RXN	EC-3.2.1.17
HALOALKANE-DEHALOGENASE-RXN	EC-3.8.1.5
3.2.1.143-RXN	EC-3.2.1.143
RXN0-722	EC-1.17.4.1
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EC-1.17.4.1
FERREDOXIN--NITRITE-REDUCTASE-RXN	EC-1.7.7.1
RXN0-723	EC-1.17.4.2
3.1.3.16-RXN	EC-3.1.3.16
RXN0-747	EC-1.17.4.1
RXN0-724	EC-1.17.4.2
RXN0-748	EC-1.17.4.1
SULFITE-REDUCTASE-FERREDOXIN-RXN	EC-1.8.7.1
3.1.22.4-RXN	EC-3.1.22.4
RXN0-6479	EC-3.1.13.1
AMINOACYLASE-RXN	EC-3.5.1.14
3.1.11.6-RXN	EC-3.1.11.6
FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
RXN-12104	EC-1.17.99.6
RXN0-6377	EC-1.7.1.4
RXN0-4222	EC-3.1.13.1
RXN0-6524	EC-3.1.13.1
3.7.1.9-RXN	EC-3.7.1.9
RXN0-6521	EC-3.1.26.12
3.1.26.4-RXN	EC-3.1.26.4
3.4.21.102-RXN	EC-3.4.21.102
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6
RXN0-6480	EC-3.1.26.5
3.1.13.1-RXN	EC-3.1.13.1
3.4.24.70-RXN	EC-3.4.24.70
3.4.23.43-RXN	EC-3.4.23.43
RXN0-6522	EC-3.1.26.12
3.4.21.92-RXN	EC-3.4.21.92
3.1.26.5-RXN	EC-3.1.26.5
RXN0-4961	EC-3.1.11
3.4.21.83-RXN	EC-3.4.21.83
3.1.26.12-RXN	EC-3.1.26.12
RXN-4301	EC-3.2.1.68
DCTP-DEAM-RXN	EC-3.5.4.13
3.4.11.9-RXN	EC-3.4.11.9
3.1.13.5-RXN	EC-3.1.13.5
RXN0-6478	EC-3.1.26.12
ACETYLPUTRESCINE-DEACETYLASE-RXN	EC-3.5.1.62
3.1.11.2-RXN	EC-3.1.11.2
RXN0-6523	EC-3.1.26.12
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
HEMEOSYN-RXN	EC-2.5.1
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
CYTDEAM-RXN	EC-3.5.4.1
RXN0-6485	EC-3.1.26.12
3.4.21.87-RXN	EC-3.4.23.49
3.1.26.3-RXN	EC-3.1.26.3
RXN-11135	EC-3.6.4.12
RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
RXN-15123	EC-3.5.99
RXN-15127	EC-3.5.99.10
RXN-13684	EC-3.5.1.14	EC-3.5.1.114
RXN-14118	EC-3.5.4.13
RXN-14727	EC-3.5.1.4
GUANIDINOBUTANAMIDE-NH3-RXN	EC-3.5.1.4
RXN0-6525	EC-3.1.13.1
LINB2-RXN	EC-3.8.1.5
LINB1-RXN	EC-3.8.1.5
RXN-11150	
TRANS-RXN490-3601	
3.2.1.33-RXN	EC-3.2.1.33
KDO-8PSYNTH-RXN	EC-2.5.1.55
RXN-11109	EC-3.6.4.13
RXN0-4261	
RXN0-1061	EC-3.6.4.9	EC-3.6.4.10
3.6.4.6-RXN	EC-3.6.4.6
RXN0-6435	EC-6.1.2
3.4.11.1-RXN	EC-3.4.11.1
RXN-14552	
3.4.24.32-RXN	EC-3.5.1.28	EC-3.4.24.32
RXN-1223	EC-3.13.1.1
RXN-13329	
RXN-8899	
RXN-9024	EC-3.2.1.3
RXN-9548	EC-3.1.2.14
RXN-13072	EC-3.5.1.111
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	EC-4.1.2.22
CATAL-RXN	EC-1.11.1.21	EC-1.11.1.6
CARBODEHYDRAT-RXN	EC-4.2.1.1
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
IMIDPHOSDEHYD-RXN	EC-4.2.1.19
CDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-4.2.1.45
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
GDPMANDEHYDRA-RXN	EC-4.2.1.47
QUINOLINATE-SYNTHA-RXN	EC-2.5.1.72
O-SUCCINYLBENZOATE-COA-SYN-RXN	EC-4.2.1.113
PGLUCONDEHYDRAT-RXN	EC-4.2.1.12
RXN-8991	
1.11.1.15-RXN	EC-1.11.1.15
NAPHTHOATE-SYN-RXN	EC-4.1.3.36
3-ISOPROPYLMALISOM-RXN	
