SYNPCC7942_2569-MONOMER	SYNPCC7942_2569	Q31K20	orotidine 5'-phosphate decarboxylase	PyrF
SYNPCC7942_2266-MONOMER	SYNPCC7942_2266	Q31KX3	periplasmic polyamine-binding protein of ABC transporter	PotD
CPLX490-3490				
SYNPCC7942_1541-MONOMER	SYNPCC7942_1541	P10340	flavodoxin	IsiB, Iron stress-induced protein B, flavodoxin
SYNPCC7942_2265-MONOMER	SYNPCC7942_2265	Q31KX4	gamma-glutamyl phosphate reductase	
CPLX490-33			glycyl-tRNA synthetase	
SYNPCC7942_1540-MONOMER	SYNPCC7942_1540	Q31MZ9	Iron stress-induced protein C	IsiC
SYNPCC7942_2264-MONOMER	SYNPCC7942_2264	Q31KX5	transcriptional regulator, LuxR family	
CPLX490-29			cytochrome <i>b</i><sub>6</sub><i>f</i> complex	
SYNPCC7942_1539-MONOMER	SYNPCC7942_1539	Q31N00	conserved hypothetical protein	
SYNPCC7942_2263-MONOMER	SYNPCC7942_2263	Q31KX6	histidyl-tRNA synthetase	
CPLX490-27			phenylalanyl-tRNA synthetase	
SYNPCC7942_1538-MONOMER	SYNPCC7942_1538	Q31N01	conserved hypothetical protein	
SYNPCC7942_2262-MONOMER	SYNPCC7942_2262	Q31KX7	conserved hypothetical protein	
CPLX490-25			glycolate oxidase	
SYNPCC7942_1537-MONOMER	SYNPCC7942_1537	Q31N02	hypothetical protein	
SYNPCC7942_2261-MONOMER	SYNPCC7942_2261	Q31KX8	periplasmic divalent cation tolerance protein	CutA
CPLX490-16			carbamoyl-phosphate synthase	
SYNPCC7942_1536-MONOMER	SYNPCC7942_1536	Q31N03	probable amidotransferase	
SYNPCC7942_2260-MONOMER	SYNPCC7942_2260	Q31KX9	conserved hypothetical protein	
CPLX490-124			DNA polymerase III alpha subunit	
SYNPCC7942_1535-MONOMER	SYNPCC7942_1535	Q31N04	possible Rubisco chaperonin	RbcX
SYNPCC7942_2259-MONOMER	SYNPCC7942_2259	Q31KY0	16S rRNA processing protein RimM	RimM
CPLX490-121			DNA-directed RNA polymerase, core enzyme	
SYNPCC7942_1534-MONOMER	SYNPCC7942_1534	Q31N05	conserved hypothetical protein	
SYNPCC7942_2258-MONOMER	SYNPCC7942_2258	Q31KY1	valine-pyruvate aminotransferase	AvtA
CPLX490-12			acetyl-CoA carboxylase, carboxyl transferase component	
SYNPCC7942_1533-MONOMER	SYNPCC7942_1533	Q31N06	succinate dehydrogenase subunit B	SdhB, succinate dehydrogenase iron-sulfur protein
SYNPCC7942_2257-MONOMER	SYNPCC7942_2257	Q31KY2	conserved hypothetical protein	
CPLX490-103			imidazole glycerol phosphate synthase	
SYNPCC7942_1532-MONOMER	SYNPCC7942_1532	Q31N07	molybdate transport system permease subunit	ModB
SYNPCC7942_2256-MONOMER	SYNPCC7942_2256	Q31KY3	conserved hypothetical protein	
CPLX490-10			light-independent protochlorophyllide reductase	
SYNPCC7942_1531-MONOMER	SYNPCC7942_1531	Q31N08	molybdate transport system periplasmic molybdate-binding protein	ModA
SYNPCC7942_2255-MONOMER	SYNPCC7942_2255	Q31KY4	conserved hypothetical protein	
CPLX-8935			phycocyanin	
SYNPCC7942_1530-MONOMER	SYNPCC7942_1530	Q31N09	molybdate transport system molybdenum-pterin binding domain protein	ModC
SYNPCC7942_2254-MONOMER	SYNPCC7942_2254	Q31KY5	conserved hypothetical protein	
CPLX-8934			phycocyanin	
SYNPCC7942_1529-MONOMER	SYNPCC7942_1529	Q31N10	conserved hypothetical protein	
SYNPCC7942_2253-MONOMER	SYNPCC7942_2253	Q31KY6	Glutamate--cysteine ligase, putative	GshA
CPLX-8932			phycocyanin	
SYNPCC7942_1528-MONOMER	SYNPCC7942_1528	Q31N11	conserved hypothetical protein YCF49	
SYNPCC7942_2252-MONOMER	SYNPCC7942_2252	Q31KY7	Phosphoenolpyruvate carboxylase	Ppc
SYNPCC7942_1527-MONOMER	SYNPCC7942_1527	Q31N12	nitrogen assimilation regulatory protein	
SYNPCC7942_2251-MONOMER	SYNPCC7942_2251	Q31KY8	alr0113 (ycf52)-like	
SYNPCC7942_1526-MONOMER	SYNPCC7942_1526	Q31N13	conserved hypothetical protein	
SYNPCC7942_2250-MONOMER	SYNPCC7942_2250	Q31KY9	DNA replication and repair protein RecF	RecF
SYNPCC7942_1525-MONOMER	SYNPCC7942_1525	Q31N14	GTP-binding protein TypA	TypA
SYNPCC7942_2249-MONOMER	SYNPCC7942_2249	Q31KZ0	conserved hypothetical protein	
SYNPCC7942_1524-MONOMER	SYNPCC7942_1524	Q31N15	DNA-directed RNA polymerase &beta;'' subunit	
SYNPCC7942_2248-MONOMER	SYNPCC7942_2248	Q31KZ1	Histone-like DNA-binding protein	
SYNPCC7942_1523-MONOMER	SYNPCC7942_1523	P42079	DNA-directed RNA polymerase &gamma; subunit	
SYNPCC7942_2247-MONOMER	SYNPCC7942_2247	Q31KZ2	DNA mismatch repair protein MutS	MutS
SYNPCC7942_1522-MONOMER	SYNPCC7942_1522	Q31N17	DNA-directed RNA polymerase, beta subunit	RpoB
SYNPCC7942_2246-MONOMER	SYNPCC7942_2246	Q31KZ3	conserved hypothetical protein	
SYNPCC7942_1521-MONOMER	SYNPCC7942_1521	Q31N18	TatD-related deoxyribonuclease	TatD
SYNPCC7942_2245-MONOMER	SYNPCC7942_2245	Q31KZ4	putative photosystem II PsbZ protein	PsbZ
SYNPCC7942_1520-MONOMER	SYNPCC7942_1520	Q31N19	30S ribosomal subunit protein S20	RpsT
SYNPCC7942_2244-MONOMER	SYNPCC7942_2244	Q31KZ5	6,7-dimethyl-8-ribityllumazine synthase	RibH
SYNPCC7942_1519-MONOMER	SYNPCC7942_1519	Q31N20	histidinol dehydrogenase	HisD
SYNPCC7942_2243-MONOMER	SYNPCC7942_2243	Q31KZ6	Glutamate-5-semialdehyde dehydrogenase	
SYNPCC7942_1518-MONOMER	SYNPCC7942_1518	Q31N21	ATP-dependent helicase PcrA	PcrA
SYNPCC7942_2242-MONOMER	SYNPCC7942_2242	Q31KZ7	two-component sensor histidine kinase	
SYNPCC7942_1517-MONOMER	SYNPCC7942_1517	Q31N22	two-component sensor histidine kinase hik34-like	
SYNPCC7942_2241-MONOMER	SYNPCC7942_2241	Q31KZ8	conserved hypothetical protein	
SYNPCC7942_1516-MONOMER	SYNPCC7942_1516	Q31N23	phosphoglycerate mutase	
SYNPCC7942_2240-MONOMER	SYNPCC7942_2240	Q31KZ9	conserved hypothetical protein YCF52	
SYNPCC7942_1515-MONOMER	SYNPCC7942_1515	Q31N24	protein serine/threonine phosphatases	
SYNPCC7942_2239-MONOMER	SYNPCC7942_2239	Q31L00	conserved hypothetical protein	
SYNPCC7942_1514-MONOMER	SYNPCC7942_1514	Q31N25	Pseudouridine synthase, Rsu	RsuA
SYNPCC7942_2238-MONOMER	SYNPCC7942_2238	Q31L01	glucose transport protein	
SYNPCC7942_1513-MONOMER	SYNPCC7942_1513	Q31N26	1-deoxy-D-xylulose 5-phosphate reductoisomerase	Dxr
SYNPCC7942_2237-MONOMER	SYNPCC7942_2237	Q31L02	conserved hypothetical protein	
SYNPCC7942_1512-MONOMER	SYNPCC7942_1512	Q31N27	Carotene 7,8-desaturase	Zds
SYNPCC7942_2236-MONOMER	SYNPCC7942_2236	Q31L03	ATPase	
SYNPCC7942_1511-MONOMER	SYNPCC7942_1511	Q31N28	conserved hypothetical protein	
SYNPCC7942_2235-MONOMER	SYNPCC7942_2235	Q31L04	tRNA (guanine-N1)-methyltransferase	TrmD
SYNPCC7942_1510-MONOMER	SYNPCC7942_1510	Q31N29	group3 RNA polymerase sigma factor SigF	SigF
SYNPCC7942_2234-MONOMER	SYNPCC7942_2234	Q31L05	NADH dehydrogenase I subunit N	NdhN
SYNPCC7942_1509-MONOMER	SYNPCC7942_1509	Q31N30	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	MnmA
SYNPCC7942_2233-MONOMER	SYNPCC7942_2233	Q31L06	hypothetical protein	
SYNPCC7942_1508-MONOMER	SYNPCC7942_1508	Q31N31	conserved hypothetical protein	
SYNPCC7942_2232-MONOMER	SYNPCC7942_2232	Q31L07	50S ribosomal subunit protein L3	RplC
SYNPCC7942_1507-MONOMER	SYNPCC7942_1507	Q31N32	lipoic acid synthetase	
SYNPCC7942_2231-MONOMER	SYNPCC7942_2231	Q31L08	50S ribosomal subunit protein L4	RplD
SYNPCC7942_1506-MONOMER	SYNPCC7942_1506	Q31N33	conserved hypothetical protein	
SYNPCC7942_2230-MONOMER	SYNPCC7942_2230	Q31L09	50S ribosomal subunit protein L23	RplW
SYNPCC7942_1505-MONOMER	SYNPCC7942_1505	Q31N34	3-isopropylmalate dehydrogenase	LeuB
SYNPCC7942_2229-MONOMER	SYNPCC7942_2229	Q31L10	50S ribosomal subunit protein L2	RplB
SYNPCC7942_1504-MONOMER	SYNPCC7942_1504	Q31N35	conserved hypothetical protein	
SYNPCC7942_2228-MONOMER	SYNPCC7942_2228	Q31L11	30S ribosomal subunit protein S19	RpsS
SYNPCC7942_1503-MONOMER	SYNPCC7942_1503	Q31N36	Photosystem II S4 domain protein	
SYNPCC7942_2227-MONOMER	SYNPCC7942_2227	Q31L12	50S ribosomal subunit protein L22	RplV
SYNPCC7942_1502-MONOMER	SYNPCC7942_1502	Q31N37	conserved hypothetical protein	
SYNPCC7942_2226-MONOMER	SYNPCC7942_2226	Q31L13	30S ribosomal subunit protein S3	RpsC
SYNPCC7942_1501-MONOMER	SYNPCC7942_1501	Q31N38	D-3-phosphoglycerate dehydrogenase	SerA
SYNPCC7942_2225-MONOMER	SYNPCC7942_2225	Q31L14	50S ribosomal subunit protein L16	RplP
SYNPCC7942_1500-MONOMER	SYNPCC7942_1500	Q31N39	ribosomal protein L11 methyltransferase	PrmA
SYNPCC7942_2224-MONOMER	SYNPCC7942_2224	Q31L15	50S ribosomal subunit protein L29	RpmC
SYNPCC7942_1498-MONOMER	SYNPCC7942_1498	Q31N41	hypothetical protein	
SYNPCC7942_2223-MONOMER	SYNPCC7942_2223	Q31L16	30S ribosomal subunit protein S17	RpsQ
SYNPCC7942_1497-MONOMER	SYNPCC7942_1497	Q31N42	conserved hypothetical protein	
SYNPCC7942_2222-MONOMER	SYNPCC7942_2222	Q31L17	50S ribosomal subunit protein L14	RplN
SYNPCC7942_1496-MONOMER	SYNPCC7942_1496	Q6V1L5	acetylglutamate kinase	ArgB
SYNPCC7942_2221-MONOMER	SYNPCC7942_2221	Q31L18	50S ribosomal subunit protein L24	RplX
SYNPCC7942_1495-MONOMER	SYNPCC7942_1495	Q31N44	conserved hypothetical protein	
SYNPCC7942_2220-MONOMER	SYNPCC7942_2220	Q31L19	50S ribosomal subunit protein L5	RplE
SYNPCC7942_1494-MONOMER	SYNPCC7942_1494	Q31N45	conserved hypothetical protein	
SYNPCC7942_2219-MONOMER	SYNPCC7942_2219	Q31L20	30S ribosomal subunit protein S8	RpsH
SYNPCC7942_1493-MONOMER	SYNPCC7942_1493	Q31N46	MazG family protein	MazG
SYNPCC7942_2218-MONOMER	SYNPCC7942_2218	Q31L21	50S ribosomal subunit protein L6	RplF
SYNPCC7942_1492-MONOMER	SYNPCC7942_1492	Q31N47	conserved hypothetical protein	
SYNPCC7942_2217-MONOMER	SYNPCC7942_2217	Q31L22	50S ribosomal subunit protein L18	RplR
SYNPCC7942_1491-MONOMER	SYNPCC7942_1491	Q31N48	bicarbonate transport ATP-binding subunit D	CmpD
SYNPCC7942_2216-MONOMER	SYNPCC7942_2216	Q31L23	30S ribosomal subunit protein S5	RpsE
SYNPCC7942_1490-MONOMER	SYNPCC7942_1490	Q31N49	bicarbonate transport ATP-binding subunit C	CmpC
SYNPCC7942_2215-MONOMER	SYNPCC7942_2215	P31160	50S ribosomal subunit protein L15	RplO
SYNPCC7942_1489-MONOMER	SYNPCC7942_1489	Q31N50	bicarbonatee transport permease	CmpB
SYNPCC7942_2214-MONOMER	SYNPCC7942_2214	P0A4H0	SecY protein	SecY
SYNPCC7942_1488-MONOMER	SYNPCC7942_1488	P39660	bicarbonate-binding protein	CmpA
SYNPCC7942_2213-MONOMER	SYNPCC7942_2213	Q31L26	adenylate kinases	Adk
SYNPCC7942_1487-MONOMER	SYNPCC7942_1487	Q31N52	30S ribosomal subunit protein S4	RpsD
SYNPCC7942_2212-MONOMER	SYNPCC7942_2212	Q31L27	50S ribosomal subunit protein L36	RpmJ
SYNPCC7942_1486-MONOMER	SYNPCC7942_1486	Q31N53	Protein of unknown function DUF37	
SYNPCC7942_2211-MONOMER	SYNPCC7942_2211	Q31L28	30S ribosomal subunit protein S13	RpsM
SYNPCC7942_1485-MONOMER	SYNPCC7942_1485	Q31N54	conserved hypothetical protein	
SYNPCC7942_2210-MONOMER	SYNPCC7942_2210	Q31L29	30S ribosomal subunit protein S11	RpsK
SYNPCC7942_1484-MONOMER	SYNPCC7942_1484	Q31N55	UDP-N-acetylmuramyl-tripeptide synthetase	MurE
SYNPCC7942_2209-MONOMER	SYNPCC7942_2209	Q31L30	DNA-directed RNA polymerase, alpha subunit	RpoA
SYNPCC7942_1483-MONOMER	SYNPCC7942_1483	Q31N56	conserved hypothetical protein	
SYNPCC7942_2208-MONOMER	SYNPCC7942_2208	Q31L31	50S ribosomal subunit protein L17	RplQ
SYNPCC7942_1482-MONOMER	SYNPCC7942_1482	Q31N57	conserved hypothetical protein	
SYNPCC7942_2207-MONOMER	SYNPCC7942_2207	Q31L32	tRNA pseudouridine synthase A	TruA
SYNPCC7942_1481-MONOMER	SYNPCC7942_1481	Q31N58	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit	HisH
SYNPCC7942_2206-MONOMER	SYNPCC7942_2206	Q31L33	50S ribosomal subunit protein L13	RplM
SYNPCC7942_1480-MONOMER	SYNPCC7942_1480	Q31N59	conserved hypothetical protein	
SYNPCC7942_2205-MONOMER	SYNPCC7942_2205	Q31L34	30S ribosomal subunit protein S9	RpsI
SYNPCC7942_1479-MONOMER	SYNPCC7942_1479	Q9Z3G1	PetG	cytochrome b6-f complex subunit 5
SYNPCC7942_2204-MONOMER	SYNPCC7942_2204	Q31L35	50S ribosomal subunit protein L31	RpmE
SYNPCC7942_1478-MONOMER	SYNPCC7942_1478	Q9Z3G2	cytochrome CytM	CytM
SYNPCC7942_2203-MONOMER	SYNPCC7942_2203	Q31L36	peptide chain release factor 1	PrfA
SYNPCC7942_1477-MONOMER	SYNPCC7942_1477	Q31N62	conserved hypothetical protein	
SYNPCC7942_2202-MONOMER	SYNPCC7942_2202	Q31L37	HNH nuclease	
SYNPCC7942_1476-MONOMER	SYNPCC7942_1476	Q31N63	conserved hypothetical protein	
SYNPCC7942_2201-MONOMER	SYNPCC7942_2201	Q31L38	alanine racemase	Alr
SYNPCC7942_1475-MONOMER	SYNPCC7942_1475	Q31N64	sodium-dependent bicarbonate transporter	SbtA
SYNPCC7942_2200-MONOMER	SYNPCC7942_2200	Q31L39	conserved hypothetical protein	
SYNPCC7942_1474-MONOMER	SYNPCC7942_1474	Q31N65	putative multicomponent Na+:H+ antiporter subunit C	MnhC
SYNPCC7942_2199-MONOMER	SYNPCC7942_2199	Q31L40	DNA polymerase III, &alpha; subunit Protein N-terminal part/intein	
SYNPCC7942_1473-MONOMER	SYNPCC7942_1473	Q31N66	putative multicomponent Na+:H+ antiporter subunit D	MnhD
SYNPCC7942_2198-MONOMER	SYNPCC7942_2198	Q31L41	conserved hypothetical protein	
SYNPCC7942_1472-MONOMER	SYNPCC7942_1472	Q31N67	conserved hypothetical protein	
SYNPCC7942_2197-MONOMER	SYNPCC7942_2197	Q31L42	glutamate 5-kinase	ProB
SYNPCC7942_1471-MONOMER	SYNPCC7942_1471	Q31N68	conserved hypothetical protein	
SYNPCC7942_2196-MONOMER	SYNPCC7942_2196	Q31L43	conserved hypothetical protein	
SYNPCC7942_1470-MONOMER	SYNPCC7942_1470	Q31N69	conserved hypothetical protein	
SYNPCC7942_2195-MONOMER	SYNPCC7942_2195	Q31L44	putative adenylate/guanylate cyclase	
SYNPCC7942_1469-MONOMER	SYNPCC7942_1469	Q31N70	putative multicomponent Na+:H+ antiporter subunit B	
SYNPCC7942_2194-MONOMER	SYNPCC7942_2194	Q31L45	conserved hypothetical protein	
SYNPCC7942_1468-MONOMER	SYNPCC7942_1468	Q31N71	putative multicomponent Na+:H+ antiporter subunit B	
SYNPCC7942_2193-MONOMER	SYNPCC7942_2193	Q31L46	metal dependent phosphohydrolase	
SYNPCC7942_1467-MONOMER	SYNPCC7942_1467	Q31N72	Heat shock protein DnaJ-like	
SYNPCC7942_2192-MONOMER	SYNPCC7942_2192	Q31L47	diguanylate cyclase (GGDEF domain)	
SYNPCC7942_1466-MONOMER	SYNPCC7942_1466	Q31N73		CysK
SYNPCC7942_2191-MONOMER	SYNPCC7942_2191	Q31L48	conserved hypothetical protein	
SYNPCC7942_1465-MONOMER	SYNPCC7942_1465	Q31N74	Protein of unknown function UPF0074	
SYNPCC7942_2190-MONOMER	SYNPCC7942_2190	Q31L49	Methionine sulfoxide reductase B	
SYNPCC7942_1464-MONOMER	SYNPCC7942_1464	Q31N75	SomA outer membrane protein	
SYNPCC7942_2189-MONOMER	SYNPCC7942_2189	Q31L50	hypothetical protein	
SYNPCC7942_1463-MONOMER	SYNPCC7942_1463	Q31N76	probable iron porin	
SYNPCC7942_2188-MONOMER	SYNPCC7942_2188	Q31L51	isochorismate synthase	MenF
SYNPCC7942_1462-MONOMER	SYNPCC7942_1462	P12608	iron-regulated protein A	IrpA
SYNPCC7942_2187-MONOMER	SYNPCC7942_2187	Q31L52	conserved hypothetical protein	
SYNPCC7942_1461-MONOMER	SYNPCC7942_1461	Q31N78	iron-regulated protein B	IrpB
SYNPCC7942_2186-MONOMER	SYNPCC7942_2186	Q31L53	probable Na+/H+-exchanging protein	
SYNPCC7942_1460-MONOMER	SYNPCC7942_1460	Q31N79	conserved hypothetical protein	
SYNPCC7942_2185-MONOMER	SYNPCC7942_2185	Q31L54	conserved hypothetical protein	
SYNPCC7942_1459-MONOMER	SYNPCC7942_1459	Q31N80	conserved hypothetical protein	
SYNPCC7942_2184-MONOMER	SYNPCC7942_2184	Q31L55	conserved hypothetical protein	
SYNPCC7942_1458-MONOMER	SYNPCC7942_1458	Q31N81	conserved hypothetical protein	
SYNPCC7942_2183-MONOMER	SYNPCC7942_2183	Q31L56	ribonuclease HI	RnhA
SYNPCC7942_1457-MONOMER	SYNPCC7942_1457	Q31N82	1-acyl-sn-glycerol-3-phosphate acyltransferase domain protein	
SYNPCC7942_2182-MONOMER	SYNPCC7942_2182	Q31L57	hypothetical protein	
SYNPCC7942_1456-MONOMER	SYNPCC7942_1456	Q31N83	malonyl CoA-acyl carrier protein transacylase	FabD
SYNPCC7942_2181-MONOMER	SYNPCC7942_2181	Q31L58	conserved hypothetical protein	
SYNPCC7942_1455-MONOMER	SYNPCC7942_1455	Q31N84	3-oxoacyl-(acyl-carrier-protein) synthase III	FabH
SYNPCC7942_2180-MONOMER	SYNPCC7942_2180	Q31L59	peroxiredoxin PrxQ-A1	
SYNPCC7942_1454-MONOMER	SYNPCC7942_1454	Q31N85	fatty acid/phospholipid synthesis protein PlsX	PlsX
SYNPCC7942_2179-MONOMER	SYNPCC7942_2179	Q31L60	conserved hypothetical protein	
SYNPCC7942_1453-MONOMER	SYNPCC7942_1453	Q31N86	RpaB response regulator	RpaB
SYNPCC7942_2178-MONOMER	SYNPCC7942_2178	Q31L61	conserved hypothetical protein	
SYNPCC7942_1452-MONOMER	SYNPCC7942_1452	Q31N87	DNA repair protein RadA	RadA
SYNPCC7942_2177-MONOMER	SYNPCC7942_2177	Q31L62	neutural amino acids ABC transporter integral membrane protein	NatD
SYNPCC7942_1451-MONOMER	SYNPCC7942_1451	Q31N88	conserved hypothetical protein	
SYNPCC7942_2176-MONOMER	SYNPCC7942_2176	Q31L63	conserved hypothetical protein	
SYNPCC7942_1450-MONOMER	SYNPCC7942_1450	Q31N89	ATPase	
SYNPCC7942_2175-MONOMER	SYNPCC7942_2175	Q31L64	IdiA	
SYNPCC7942_1449-MONOMER	SYNPCC7942_1449	Q31N90	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase	LpxD
SYNPCC7942_2174-MONOMER	SYNPCC7942_2174	Q31L65	IdiB	IdiB transcriptional activator
SYNPCC7942_1448-MONOMER	SYNPCC7942_1448	Q9L790	quinolinate synthetase complex, A subunit	NadA
SYNPCC7942_2173-MONOMER	SYNPCC7942_2173	Q31L66	Iron deficiency-induced protein C	IdiC
SYNPCC7942_1447-MONOMER	SYNPCC7942_1447	P27134	carbonic anhydrase	IcfA, Carbonate dehydratase
SYNPCC7942_2172-MONOMER	SYNPCC7942_2172	Q31L67	conserved hypothetical protein	
SYNPCC7942_1446-MONOMER	SYNPCC7942_1446	Q31N93	conserved hypothetical protein	
SYNPCC7942_2171-MONOMER	SYNPCC7942_2171	Q55024	starvation induced DNA binding protein	DpsA
SYNPCC7942_1445-MONOMER	SYNPCC7942_1445	Q31N94	conserved hypothetical protein	
SYNPCC7942_2170-MONOMER	SYNPCC7942_2170	Q31L69	putative ferric uptake regulator, FUR family	
SYNPCC7942_1444-MONOMER	SYNPCC7942_1444	Q31N95	hypothetical protein	
SYNPCC7942_2169-MONOMER	SYNPCC7942_2169	Q31L70	conserved hypothetical protein	
SYNPCC7942_1443-MONOMER	SYNPCC7942_1443	Q8VW88	ketose-bisphosphate aldolases Fructose-bisphosphate aldolase, class II, Calvin cycle subtype	CbbA
SYNPCC7942_2168-MONOMER	SYNPCC7942_2168	Q31L71	ATP-dependent DNA helicase PcrA	PcrA
SYNPCC7942_1442-MONOMER	SYNPCC7942_1442	Q31N97	conserved hypothetical protein	
SYNPCC7942_2167-MONOMER	SYNPCC7942_2167	Q31L72	conserved hypothetical protein	
SYNPCC7942_1441-MONOMER	SYNPCC7942_1441	Q31N98	cobalamin biosynthesis protein CobD	CobD
SYNPCC7942_2166-MONOMER	SYNPCC7942_2166	Q31L73	conserved hypothetical protein	
SYNPCC7942_1440-MONOMER	SYNPCC7942_1440	Q31N99	homoserine kinase	ThrB
SYNPCC7942_2165-MONOMER	SYNPCC7942_2165	Q31L74	conserved hypothetical protein	
SYNPCC7942_1439-MONOMER	SYNPCC7942_1439	Q31NA0	proton-translocating NADH-quinone oxidoreductase, subunit NdhD2	
SYNPCC7942_2164-MONOMER	SYNPCC7942_2164	Q31L75	cell death suppressor protein Lls1-like	
SYNPCC7942_1438-MONOMER	SYNPCC7942_1438	Q31NA1	anti-sigma regulatory factor NblC	PmgA, NblC
SYNPCC7942_2163-MONOMER	SYNPCC7942_2163	Q31L76	conserved hypothetical protein	
SYNPCC7942_1437-MONOMER	SYNPCC7942_1437	Q31NA2	conserved hypothetical protein	
SYNPCC7942_2162-MONOMER	SYNPCC7942_2162	Q31L77	hypothetical protein	
SYNPCC7942_1436-MONOMER	SYNPCC7942_1436	Q31NA3	conserved hypothetical protein	
SYNPCC7942_2161-MONOMER	SYNPCC7942_2161	Q31L78	conserved hypothetical protein	
SYNPCC7942_1435-MONOMER	SYNPCC7942_1435	Q31NA4	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase	MenD
SYNPCC7942_2160-MONOMER	SYNPCC7942_2160	Q31L79	serine:pyruvate aminotransferase	Spt
SYNPCC7942_1434-MONOMER	SYNPCC7942_1434	Q31NA5	conserved hypothetical protein	
SYNPCC7942_2159-MONOMER	SYNPCC7942_2159	O50208	conserved hypothetical protein	
SYNPCC7942_1433-MONOMER	SYNPCC7942_1433	Q31NA6	N-acetyl-gamma-glutamyl-phosphate reductase	ArgC
SYNPCC7942_2158-MONOMER	SYNPCC7942_2158	O50209	allophycocyanin, beta 18 subunit	ApcF
SYNPCC7942_1432-MONOMER	SYNPCC7942_1432	Q31NA7	3,4-dihydroxy-2-butanone 4-phosphate synthase GTP cyclohydrolase II	
SYNPCC7942_2157-MONOMER	SYNPCC7942_2157	Q31L82	conserved hypothetical protein	
SYNPCC7942_1431-MONOMER	SYNPCC7942_1431	P29820	Peptidylprolyl isomerase	Rot
SYNPCC7942_2156-MONOMER	SYNPCC7942_2156	Q31L83	glutamine synthetase type I subunit	GlnA
SYNPCC7942_1430-MONOMER	SYNPCC7942_1430	Q31NA9	conserved hypothetical protein	
SYNPCC7942_2155-MONOMER	SYNPCC7942_2155	Q31L84	conserved hypothetical protein	
SYNPCC7942_1429-MONOMER	SYNPCC7942_1429	Q57311	conserved hypothetical protein	
SYNPCC7942_2154-MONOMER	SYNPCC7942_2154	Q31L85	hypothetical protein	
SYNPCC7942_1428-MONOMER	SYNPCC7942_1428	Q54975	phosphoribosylaminoimidazole carboxylase, ATPase subunit	PurK
SYNPCC7942_2153-MONOMER	SYNPCC7942_2153	Q31L86	hypothetical protein	
SYNPCC7942_1427-MONOMER	SYNPCC7942_1427	Q31NB2	ribulose-bisphosphate carboxylase small subunit	RbcS, CbbS
SYNPCC7942_2152-MONOMER	SYNPCC7942_2152	Q31L87	conserved hypothetical protein	
SYNPCC7942_1426-MONOMER	SYNPCC7942_1426	Q31NB3	ribulose-bisphosphate carboxylase large subunit	RbcL, CbbL
SYNPCC7942_2151-MONOMER	SYNPCC7942_2151	Q31L88	Cellulose synthase (UDP-forming)	
SYNPCC7942_1425-MONOMER	SYNPCC7942_1425	P46205	carbon dioxide concentrating mechanism protein CcmO	CcmO
SYNPCC7942_2150-MONOMER	SYNPCC7942_2150	Q31L89	probable hydrolase	
SYNPCC7942_1424-MONOMER	SYNPCC7942_1424	P46204	carbon dioxide concentrating mechanism protein	CcmN
SYNPCC7942_2149-MONOMER	SYNPCC7942_2149	Q31L90	ABC-2 type transport system permease protein	
SYNPCC7942_1423-MONOMER	SYNPCC7942_1423	Q03513	carbonic anhydrase	CcmM
SYNPCC7942_2148-MONOMER	SYNPCC7942_2148	Q31L91	ATPase	
SYNPCC7942_1422-MONOMER	SYNPCC7942_1422	Q03512	carbon dioxide concentrating mechanism protein CcmL	CcmL
SYNPCC7942_2147-MONOMER	SYNPCC7942_2147	Q31L92	conserved hypothetical protein	
SYNPCC7942_1421-MONOMER	SYNPCC7942_1421	Q03511	putative carboxysome assembly protein	
SYNPCC7942_2146-MONOMER	SYNPCC7942_2146	Q31L93	hypothetical protein	
SYNPCC7942_1420-MONOMER	SYNPCC7942_1420	P54208	light-independent protochlorophyllide reductase, N subunit	ChlN
SYNPCC7942_2145-MONOMER	SYNPCC7942_2145	Q31L94	conserved hypothetical protein	
SYNPCC7942_1419-MONOMER	SYNPCC7942_1419	P54207	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein	ChlL
SYNPCC7942_2144-MONOMER	SYNPCC7942_2144	Q31L95	nuclease (SNase-like)	
SYNPCC7942_1418-MONOMER	SYNPCC7942_1418	Q31NC1	hypothetical carboxysomal shell polypeptide	CcmJ
SYNPCC7942_2143-MONOMER	SYNPCC7942_2143	Q31L96	tryptophan synthase, beta subunit	TrpB
SYNPCC7942_1417-MONOMER	SYNPCC7942_1417	Q31NC2	conserved hypothetical protein	
SYNPCC7942_2142-MONOMER	SYNPCC7942_2142	Q31L97	probable translation initiation factor SUI1	InfA
SYNPCC7942_1416-MONOMER	SYNPCC7942_1416	P34185	DNA topoisomerase I	TopA
SYNPCC7942_2141-MONOMER	SYNPCC7942_2141	Q31L98	conserved hypothetical protein	
SYNPCC7942_1415-MONOMER	SYNPCC7942_1415	P29801	Proton-translocating NADH-quinone oxidoreductase, subunit NdhB	NdhB
SYNPCC7942_2140-MONOMER	SYNPCC7942_2140	Q31L99	conserved hypothetical protein	
SYNPCC7942_1414-MONOMER	SYNPCC7942_1414	Q31NC5	ATPase	
